ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
12,000004600,0.02112,0,0,2.122e-314,0
12,000006600,0.019382,0.006033,0.00079168,16.862,0
12,000003600,0.016976,0,0,2.122e-314,0
6,000000460,0.016976,0.017681,0.00033775,-2.0867,0.978
6,000000560,0.016709,0.016377,0.00032979,1.0078,0.151
12,000005600,0.015372,0,0,2.122e-314,0
12,000006500,0.015105,0,0,2.122e-314,0
6,000000340,0.014838,0.012961,0.00029002,6.469,0
12,000002600,0.014704,0,0,2.122e-314,0
6,000000360,0.014704,0.015225,0.0003082,-1.6899,0.946
12,000001600,0.014437,0.0041623,0.00065569,15.669,0
12,000002300,0.014169,0,0,2.122e-314,0
12,000005200,0.014169,0,0,2.122e-314,0
6,000000240,0.014036,0.011164,0.0002846,10.09,0
12,000006200,0.013768,0,0,2.122e-314,0
12,000006400,0.013635,0,0,2.122e-314,0
12,000001200,0.013501,0.004742,0.0006254,14.005,0
12,000003400,0.013367,0,0,2.122e-314,0
12,000004400,0.013234,0.0039422,0.00062843,14.785,0
6,000000510,0.0131,0.012276,0.00031778,2.5934,0
12,000004500,0.0131,0,0,2.122e-314,0
12,000001400,0.012833,0.0033997,0.00053912,17.497,0
12,000003500,0.012699,0,0,2.122e-314,0
6,000000610,0.012699,0.013444,0.00029571,-2.5213,0.989
6,000000230,0.012298,0.011765,0.00029313,1.8176,0.019
6,000000260,0.012298,0.011649,0.00027938,2.3221,0.004
6,000000350,0.012164,0.01102,0.00028045,4.079,0
12,000002500,0.01203,0,0,2.122e-314,0
12,000005500,0.01203,0.0044547,0.00064692,11.71,0
12,000004300,0.011897,0,0,2.122e-314,0
12,000003200,0.011897,0,0,2.122e-314,0
12,000006300,0.011763,0,0,2.122e-314,0
6,000000450,0.011763,0.011706,0.0002723,0.20972,0.445
12,000003300,0.011763,0.0032888,0.00054252,15.62,0
12,000005400,0.011763,0,0,2.122e-314,0
6,000000310,0.011629,0.011912,0.00028025,-1.0066,0.855
12,000001500,0.011496,0.004977,0.00068412,9.5287,0
12,000005300,0.011496,0,0,2.122e-314,0
6,000000410,0.011362,0.013326,0.00029736,-6.6061,1
12,000004200,0.011228,0,0,2.122e-314,0
6,000000250,0.010694,0.013298,0.00030284,-8.6002,1
12,000001300,0.010694,0.0035344,0.00057312,12.492,0
12,000002400,0.010159,0,0,2.122e-314,0
12,000002200,0.0096244,0.0041589,0.00060963,8.9653,0
6,000000210,0.0094907,0.010772,0.00027425,-4.6713,1
36,006006000,0.0094907,0,0,2.122e-314,0
36,005006000,0.0092234,0,0,2.122e-314,0
6,000000660,0.0092234,0.0097708,0.00026138,-2.0943,0.978
36,006002000,0.0088223,0,0,2.122e-314,0
36,002002000,0.0082877,0,0,2.122e-314,0
36,004005000,0.0082877,0,0,2.122e-314,0
12,000006100,0.0080203,0,0,2.122e-314,0
36,002006000,0.0080203,0,0,2.122e-314,0
36,001005000,0.0080203,0,0,2.122e-314,0
36,006005000,0.0078866,0,0,2.122e-314,0
36,004006000,0.0078866,0,0,2.122e-314,0
36,005001000,0.007753,0,0,2.122e-314,0
12,003000010,0.007753,0,0,2.122e-314,0
36,004004000,0.0074856,0,0,2.122e-314,0
36,003004000,0.007352,0,0,2.122e-314,0
36,003006000,0.0072183,0,0,2.122e-314,0
6,000000440,0.0072183,0.0087983,0.00023945,-6.5986,1
36,005003000,0.0072183,0,0,2.122e-314,0
36,006004000,0.0070846,0,0,2.122e-314,0
36,002004000,0.0070846,0,0,2.122e-314,0
12,002000010,0.0070846,0,0,2.122e-314,0
36,002005000,0.0069509,0,0,2.122e-314,0
36,001004000,0.0068173,0,0,2.122e-314,0
36,005005000,0.0068173,0,0,2.122e-314,0
12,000004100,0.0068173,0,0,2.122e-314,0
12,000001100,0.0068173,0.0046655,0.00062842,3.424,0.001
36,006001000,0.0066836,0,0,2.122e-314,0
36,006003000,0.0066836,0,0,2.122e-314,0
12,000005100,0.0065499,0,0,2.122e-314,0
12,000002100,0.0065499,0,0,2.122e-314,0
12,006000010,0.0064163,0,0,2.122e-314,0
12,001000010,0.0062826,0,0,2.122e-314,0
12,005000010,0.0061489,0,0,2.122e-314,0
6,000000550,0.0061489,0.005577,0.00019944,2.8678,0
6,000000110,0.0061489,0.0052062,0.00018664,5.051,0
36,001001000,0.0060152,0,0,2.122e-314,0
36,005004000,0.0058816,0,0,2.122e-314,0
36,003001000,0.0058816,0,0,2.122e-314,0
36,003005000,0.0057479,0,0,2.122e-314,0
36,004001000,0.0057479,0,0,2.122e-314,0
36,001002000,0.0057479,0,0,2.122e-314,0
36,002003000,0.0056142,0,0,2.122e-314,0
6,000000330,0.0056142,0.005192,0.0001938,2.1785,0
12,004000010,0.0056142,0,0,2.122e-314,0
36,004002000,0.0054806,0,0,2.122e-314,0
36,005002000,0.0053469,0,0,2.122e-314,0
12,000003100,0.0052132,0,0,2.122e-314,0
36,002001000,0.0052132,0,0,2.122e-314,0
36,004003000,0.0050795,0,0,2.122e-314,0
6,000000220,0.0048122,0.0048055,0.00019395,0.034554,0.557
36,003002000,0.0048122,0,0,2.122e-314,0
36,003003000,0.0046785,0,0,2.122e-314,0
36,001006000,0.0046785,0,0,2.122e-314,0
36,001003000,0.0044112,0,0,2.122e-314,0
14,000005250,0.00053469,0.00038429,5.2078e-05,2.888,0
162,001002300,0.00053469,0,0,2.122e-314,0
162,003006100,0.00053469,0,0,2.122e-314,0
140,050001300,0.00040102,6.0395e-05,8.8856e-05,3.8334,0.01
162,001005100,0.00040102,0,0,2.122e-314,0
14,004000250,0.00040102,0,0,2.122e-314,0
14,005000250,0.00040102,0,0,2.122e-314,0
162,003002500,0.00040102,0,0,2.122e-314,0
14,000005450,0.00040102,0.00025735,3.7391e-05,3.8423,0
14,000001310,0.00040102,0.00038095,5.3095e-05,0.37801,0.63
162,001006300,0.00040102,0,0,2.122e-314,0
14,000001230,0.00040102,0.00012559,3.2307e-05,8.5252,0
162,005003400,0.00040102,0,0,2.122e-314,0
38,000301400,0.00040102,0,0,2.122e-314,0
162,002001500,0.00040102,0,0,2.122e-314,0
162,005006500,0.00040102,0,0,2.122e-314,0
14,000001260,0.00026734,0.00012868,2.5938e-05,5.3459,0
38,000300660,0.00026734,7.8618e-05,9.5742e-05,1.9712,0.086
162,001006500,0.00026734,0,0,2.122e-314,0
162,001005300,0.00026734,0,0,2.122e-314,0
162,004002400,0.00026734,0,0,2.122e-314,0
38,000500230,0.00026734,6.1335e-05,8.9297e-05,2.307,0.057
