ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
12,000004600,0.02112,0,0,2.122e-314,0
12,000006600,0.019382,0.0068468,0.00079528,15.763,0
12,000003600,0.016976,0,0,2.122e-314,0
6,000000460,0.016976,0.017943,0.00032599,-2.9657,0.995
6,000000560,0.016709,0.015848,0.00033093,2.6013,0
12,000005600,0.015372,0,0,2.122e-314,0
12,000006500,0.015105,0,0,2.122e-314,0
6,000000340,0.014838,0.014881,0.00030087,-0.14565,0.577
12,000002600,0.014704,0,0,2.122e-314,0
6,000000360,0.014704,0.014873,0.00031071,-0.54286,0.719
12,000001600,0.014437,0.0046636,0.0006482,15.077,0
12,000005200,0.014169,0,0,2.122e-314,0
12,000002300,0.014169,0,0,2.122e-314,0
6,000000240,0.014036,0.01247,0.00028551,5.483,0
12,000006200,0.013768,0,0,2.122e-314,0
12,000006400,0.013635,0,0,2.122e-314,0
12,000001200,0.013501,0.0052213,0.00066832,12.389,0
12,000003400,0.013367,0,0,2.122e-314,0
12,000004400,0.013234,0.0046041,0.0006827,12.64,0
12,000004500,0.0131,0,0,2.122e-314,0
6,000000510,0.0131,0.013718,0.00029799,-2.0734,0.979
12,000001400,0.012833,0.0035813,0.00055909,16.547,0
12,000003500,0.012699,0,0,2.122e-314,0
6,000000610,0.012699,0.012446,0.00028146,0.90003,0.201
6,000000230,0.012298,0.012702,0.00029517,-1.3692,0.912
6,000000260,0.012298,0.01399,0.00030964,-5.4638,1
6,000000350,0.012164,0.0128,0.00029506,-2.1539,0.984
12,000002500,0.01203,0,0,2.122e-314,0
12,000005500,0.01203,0.0042365,0.00062822,12.406,0
12,000004300,0.011897,0,0,2.122e-314,0
12,000003200,0.011897,0,0,2.122e-314,0
12,000003300,0.011763,0.0038436,0.00060226,13.15,0
6,000000450,0.011763,0.012833,0.00029227,-3.6596,0.999
12,000006300,0.011763,0,0,2.122e-314,0
12,000005400,0.011763,0,0,2.122e-314,0
6,000000310,0.011629,0.011693,0.00028355,-0.22416,0.617
12,000001500,0.011496,0.004737,0.00064473,10.483,0
12,000005300,0.011496,0,0,2.122e-314,0
6,000000410,0.011362,0.011709,0.00027201,-1.2737,0.896
12,000004200,0.011228,0,0,2.122e-314,0
6,000000250,0.010694,0.013709,0.00031004,-9.7249,1
12,000001300,0.010694,0.0036566,0.00060035,11.722,0
12,000002400,0.010159,0,0,2.122e-314,0
12,000002200,0.0096244,0.0043848,0.00057403,9.1279,0
6,000000210,0.0094907,0.012194,0.00028619,-9.4471,1
36,006006000,0.0094907,0,0,2.122e-314,0
36,005006000,0.0092234,0,0,2.122e-314,0
6,000000660,0.0092234,0.0091479,0.00024577,0.30712,0.426
36,006002000,0.0088223,0,0,2.122e-314,0
36,004005000,0.0082877,0,0,2.122e-314,0
36,002002000,0.0082877,0,0,2.122e-314,0
12,000006100,0.0080203,0,0,2.122e-314,0
36,001005000,0.0080203,0,0,2.122e-314,0
36,002006000,0.0080203,0,0,2.122e-314,0
36,004006000,0.0078866,0,0,2.122e-314,0
36,006005000,0.0078866,0,0,2.122e-314,0
36,005001000,0.007753,0,0,2.122e-314,0
12,003000010,0.007753,0,0,2.122e-314,0
36,004004000,0.0074856,0,0,2.122e-314,0
36,003004000,0.007352,0,0,2.122e-314,0
6,000000440,0.0072183,0.0072574,0.00020405,-0.1916,0.629
36,003006000,0.0072183,0,0,2.122e-314,0
36,005003000,0.0072183,0,0,2.122e-314,0
36,006004000,0.0070846,0,0,2.122e-314,0
36,002004000,0.0070846,0,0,2.122e-314,0
