ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
12,002000010,0.0070846,0,0,2.122e-314,0
36,002005000,0.0069509,0,0,2.122e-314,0
12,000004100,0.0068173,0,0,2.122e-314,0
36,001004000,0.0068173,0,0,2.122e-314,0
36,005005000,0.0068173,0,0,2.122e-314,0
12,000001100,0.0068173,0.0043208,0.00058951,4.2348,0
36,006001000,0.0066836,0,0,2.122e-314,0
36,006003000,0.0066836,0,0,2.122e-314,0
12,000005100,0.0065499,0,0,2.122e-314,0
12,000002100,0.0065499,0,0,2.122e-314,0
12,006000010,0.0064163,0,0,2.122e-314,0
12,001000010,0.0062826,0,0,2.122e-314,0
6,000000110,0.0061489,0.0063451,0.00020952,-0.93642,0.838
6,000000550,0.0061489,0.0062153,0.00020504,-0.324,0.679
12,005000010,0.0061489,0,0,2.122e-314,0
36,001001000,0.0060152,0,0,2.122e-314,0
36,005004000,0.0058816,0,0,2.122e-314,0
36,003001000,0.0058816,0,0,2.122e-314,0
36,001002000,0.0057479,0,0,2.122e-314,0
36,004001000,0.0057479,0,0,2.122e-314,0
36,003005000,0.0057479,0,0,2.122e-314,0
6,000000330,0.0056142,0.005972,0.00019862,-1.8011,0.956
36,002003000,0.0056142,0,0,2.122e-314,0
12,004000010,0.0056142,0,0,2.122e-314,0
36,004002000,0.0054806,0,0,2.122e-314,0
36,005002000,0.0053469,0,0,2.122e-314,0
36,002001000,0.0052132,0,0,2.122e-314,0
12,000003100,0.0052132,0,0,2.122e-314,0
36,004003000,0.0050795,0,0,2.122e-314,0
36,003002000,0.0048122,0,0,2.122e-314,0
6,000000220,0.0048122,0.0048322,0.00018053,-0.11103,0.613
36,001006000,0.0046785,0,0,2.122e-314,0
36,003003000,0.0046785,0,0,2.122e-314,0
36,001003000,0.0044112,0,0,2.122e-314,0
162,001002300,0.00053469,0,0,2.122e-314,0
14,000005250,0.00053469,0.00050997,6.2067e-05,0.39832,0.582
162,003006100,0.00053469,0,0,2.122e-314,0
140,050001300,0.00040102,4.0172e-05,7.3383e-05,4.9173,0.001
162,001005100,0.00040102,0,0,2.122e-314,0
162,005003400,0.00040102,0,0,2.122e-314,0
162,001006300,0.00040102,0,0,2.122e-314,0
162,002001500,0.00040102,0,0,2.122e-314,0
14,004000250,0.00040102,0,0,2.122e-314,0
14,000001310,0.00040102,0.00025424,4.3763e-05,3.354,0
162,005006500,0.00040102,0,0,2.122e-314,0
14,000005450,0.00040102,0.00025571,3.9244e-05,3.7026,0
14,000001230,0.00040102,0.00037943,5.2999e-05,0.40734,0.576
14,005000250,0.00040102,0,0,2.122e-314,0
38,000301400,0.00040102,0,0,2.122e-314,0
162,003002500,0.00040102,0,0,2.122e-314,0
38,000300540,0.00026734,6.1204e-05,9.2872e-05,2.2196,0.064
38,000300660,0.00026734,6.4825e-05,9.6447e-05,2.0998,0.071
162,001005500,0.00026734,0,0,2.122e-314,0
162,001005300,0.00026734,0,0,2.122e-314,0
162,004002400,0.00026734,0,0,2.122e-314,0
140,006400050,0.00026734,0,0,2.122e-314,0
162,005004200,0.00026734,0,0,2.122e-314,0
162,001006400,0.00026734,0,0,2.122e-314,0
162,004001400,0.00026734,0,0,2.122e-314,0
162,001006500,0.00026734,0,0,2.122e-314,0
162,001006100,0.00026734,0,0,2.122e-314,0
162,005004300,0.00026734,0,0,2.122e-314,0
162,004003400,0.00026734,0,0,2.122e-314,0
38,000500310,0.00026734,5.8128e-05,8.724e-05,2.3982,0.055
14,000002510,0.00026734,0.00012652,3.054e-05,4.6112,0
140,050003300,0.00026734,4.6611e-05,7.8922e-05,2.7968,0.031
140,060003300,0.00026734,6.3064e-05,9.0779e-05,2.2503,0.055
38,000400360,0.00026734,5.5581e-05,8.9801e-05,2.3581,0.056
162,003005500,0.00026734,0,0,2.122e-314,0
14,000005550,0.00026734,0.00025785,3.7524e-05,0.2529,0.633
38,000200560,0.00026734,7.1107e-05,9.4651e-05,2.0733,0.069
162,005005200,0.00026734,0,0,2.122e-314,0
140,050002200,0.00026734,5.1561e-05,8.0499e-05,2.6806,0.042
14,000001340,0.00026734,0.00012786,2.7772e-05,5.0225,0
14,000001510,0.00026734,0.00012987,2.2853e-05,6.0158,0
14,005000260,0.00026734,0,0,2.122e-314,0
38,000200250,0.00026734,5.8921e-05,8.7884e-05,2.3716,0.051
14,005000230,0.00026734,0,0,2.122e-314,0
14,000005230,0.00026734,0.00012384,3.5283e-05,4.0671,0
14,002000520,0.00026734,0,0,2.122e-314,0
38,060000460,0.00026734,0,0,2.122e-314,0
162,005003200,0.00026734,0,0,2.122e-314,0
14,003000560,0.00026734,0,0,2.122e-314,0
38,000200120,0.00026734,5.2641e-05,8.2895e-05,2.5901,0.044
38,060000560,0.00026734,0,0,2.122e-314,0
162,004006500,0.00026734,0,0,2.122e-314,0
14,000001260,0.00026734,0.00013174,1.6812e-05,8.0658,0
14,001000360,0.00026734,0,0,2.122e-314,0
162,003004500,0.00026734,0,0,2.122e-314,0
38,010000260,0.00026734,0,0,2.122e-314,0
14,000004240,0.00026734,0.00025813,3.6642e-05,0.25154,0.637
140,001500060,0.00026734,0,0,2.122e-314,0
38,000500450,0.00026734,5.2501e-05,8.6271e-05,2.4903,0.051
38,000600220,0.00026734,4.8466e-05,7.6362e-05,2.8663,0.03
162,005005400,0.00026734,0,0,2.122e-314,0
14,002000420,0.00026734,0,0,2.122e-314,0
38,000403300,0.00026734,0,0,2.122e-314,0
38,000500230,0.00026734,5.3149e-05,8.2926e-05,2.583,0.039
162,001002200,0.00026734,0,0,2.122e-314,0
14,002000450,0.00026734,0,0,2.122e-314,0
162,001003200,0.00026734,0,0,2.122e-314,0
38,000400260,0.00026734,4.5132e-05,7.6658e-05,2.8988,0.033
14,005000460,0.00026734,0,0,2.122e-314,0
14,002000550,0.00026734,0,0,2.122e-314,0
38,000400240,0.00013367,4.4056e-05,7.6349e-05,1.1738,0.215
162,003006500,0.00013367,0,0,2.122e-314,0
38,000400440,0.00013367,5.9212e-05,8.6522e-05,0.86058,0.288
14,001000110,0.00013367,0,0,2.122e-314,0
140,040001200,0.00013367,4.1644e-05,7.5595e-05,1.2174,0.195
38,000300450,0.00013367,4.8885e-05,8.0171e-05,1.0576,0.228
138,003003010,0.00013367,0,0,2.122e-314,0
162,001004100,0.00013367,0,0,2.122e-314,0
38,030000230,0.00013367,0,0,2.122e-314,0
38,000400540,0.00013367,6.4816e-05,9.5306e-05,0.72247,0.285
14,000006510,0.00013367,0.00012946,2.3931e-05,0.17583,0.662
162,002002500,0.00013367,0,0,2.122e-314,0
38,060000340,0.00013367,0,0,2.122e-314,0
162,004004100,0.00013367,0,0,2.122e-314,0
140,001400010,0.00013367,0,0,2.122e-314,0
14,001000660,0.00013367,0,0,2.122e-314,0
14,004000110,0.00013367,0,0,2.122e-314,0
46,000404220,0.00013367,1.0716e-06,1.1939e-05,11.106,0.006
14,005000550,0.00013367,0,0,2.122e-314,0
38,000300510,0.00013367,6.0255e-05,8.5303e-05,0.86066,0.276
38,000100340,0.00013367,5.4384e-05,8.7019e-05,0.91116,0.239
38,000101300,0.00013367,0,0,2.122e-314,0
140,005200030,0.00013367,0,0,2.122e-314,0
162,005003100,0.00013367,0,0,2.122e-314,0
140,001200020,0.00013367,0,0,2.122e-314,0
14,000002310,0.00013367,0.00012585,3.1813e-05,0.24597,0.644
38,000100330,0.00013367,5.1175e-05,8.1994e-05,1.0061,0.249
166,010600220,0.00013367,0,0,2.122e-314,0
14,001000230,0.00013367,0,0,2.122e-314,0
162,003004100,0.00013367,0,0,2.122e-314,0
140,010003300,0.00013367,5.1688e-05,8.006e-05,1.024,0.246
162,004006400,0.00013367,0,0,2.122e-314,0
14,003000110,0.00013367,0,0,2.122e-314,0
162,004001100,0.00013367,0,0,2.122e-314,0
140,010006600,0.00013367,7.9024e-05,0.00010207,0.53539,0.349
14,000004410,0.00013367,0.00012853,2.6251e-05,0.19597,0.657
38,000200520,0.00013367,6.6434e-05,9.3637e-05,0.71806,0.302
162,005001300,0.00013367,0,0,2.122e-314,0
162,004004400,0.00013367,0,0,2.122e-314,0
38,000400650,0.00013367,5.6522e-05,8.9086e-05,0.86602,0.262
14,000002340,0.00013367,0.00012598,3.1564e-05,0.24364,0.644
14,000003550,0.00013367,0.00038452,4.6345e-05,-5.4125,0.998
14,000003610,0.00013367,0.00062818,7.1782e-05,-6.889,1
162,005004400,0.00013367,0,0,2.122e-314,0
14,000002110,0.00013367,0.00012638,3.08e-05,0.2366,0.649
14,000001210,0.00013367,0.00012558,3.2303e-05,0.25063,0.642
38,000600440,0.00013367,7.8999e-05,9.8448e-05,0.55535,0.357
138,001003010,0.00013367,0,0,2.122e-314,0
38,000500250,0.00013367,6.1201e-05,8.871e-05,0.81694,0.28
14,000003410,0.00013367,0.00013054,2.0917e-05,0.14988,0.672
140,050004400,0.00013367,5.5032e-05,8.7241e-05,0.90141,0.255
38,040000350,0.00013367,0,0,2.122e-314,0
140,060001300,0.00013367,6.2943e-05,8.9987e-05,0.78599,0.295
162,002005500,0.00013367,0,0,2.122e-314,0
38,060000450,0.00013367,0,0,2.122e-314,0
162,006006100,0.00013367,0,0,2.122e-314,0
140,060002200,0.00013367,6.2415e-05,9.1584e-05,0.77805,0.285
14,001000220,0.00013367,0,0,2.122e-314,0
38,000600460,0.00013367,8.7035e-05,0.00010581,0.44077,0.37
38,000600230,0.00013367,7.5138e-05,0.00010087,0.5803,0.329
38,000300330,0.00013367,4.4592e-05,7.6748e-05,1.1607,0.211
14,005000330,0.00013367,0,0,2.122e-314,0
162,001002600,0.00013367,0,0,2.122e-314,0
38,040000360,0.00013367,0,0,2.122e-314,0
14,000005210,0.00013367,0,0,2.122e-314,0
102,050101200,0.00013367,0,0,2.122e-314,0
138,002003010,0.00013367,0,0,2.122e-314,0
38,000400250,0.00013367,4.1255e-05,7.4752e-05,1.2363,0.207
38,000300550,0.00013367,5.9058e-05,9.091e-05,0.82075,0.273
14,000005610,0.00013367,0.00012491,3.3491e-05,0.26168,0.634
162,004002500,0.00013367,0,0,2.122e-314,0
140,004300040,0.00013367,0,0,2.122e-314,0
140,060005500,0.00013367,6.2396e-05,9.6864e-05,0.73584,0.27
140,001200060,0.00013367,0,0,2.122e-314,0
38,000300440,0.00013367,5.5975e-05,8.551e-05,0.90864,0.258
14,000006410,0.00013367,0,0,2.122e-314,0
162,004005400,0.00013367,0,0,2.122e-314,0
38,000200210,0.00013367,6.5745e-05,9.0059e-05,0.75426,0.311
162,005006200,0.00013367,0,0,2.122e-314,0
38,030000250,0.00013367,0,0,2.122e-314,0
140,005400050,0.00013367,0,0,2.122e-314,0
162,001005200,0.00013367,0,0,2.122e-314,0
162,002001400,0.00013367,0,0,2.122e-314,0
138,003002010,0.00013367,0,0,2.122e-314,0
162,001001200,0.00013367,0,0,2.122e-314,0
14,000003210,0.00013367,0.0002537,4.1922e-05,-2.8632,0.968
14,001000330,0.00013367,0,0,2.122e-314,0
14,001000560,0.00013367,0,0,2.122e-314,0
14,001000510,0.00013367,0,0,2.122e-314,0
162,002004500,0.00013367,0,0,2.122e-314,0
14,004000230,0.00013367,0,0,2.122e-314,0
38,000402200,0.00013367,0,0,2.122e-314,0
140,010005500,0.00013367,4.9006e-05,8.2365e-05,1.0279,0.223
38,000300140,0.00013367,5.5312e-05,8.179e-05,0.95807,0.276
162,002006400,0.00013367,0,0,2.122e-314,0
38,000600330,0.00013367,6.3874e-05,9.3164e-05,0.74919,0.286
14,005000410,0.00013367,0,0,2.122e-314,0
38,000300110,0.00013367,4.8475e-05,7.8911e-05,1.0797,0.235
142,050003310,0.00013367,0,0,2.122e-314,0
138,002005010,0.00013367,0,0,2.122e-314,0
38,000100660,0.00013367,6.7498e-05,9.5134e-05,0.69559,0.31
138,003004010,0.00013367,0,0,2.122e-314,0
38,000200620,0.00013367,6.3342e-05,9.1006e-05,0.77281,0.292
38,000600350,0.00013367,6.7356e-05,9.1279e-05,0.72652,0.307
38,030000240,0.00013367,0,0,2.122e-314,0
14,000003310,0.00013367,0.00025652,3.8575e-05,-3.1846,0.973
166,050200520,0.00013367,0,0,2.122e-314,0
38,010000660,0.00013367,0,0,2.122e-314,0
162,003001100,0.00013367,0,0,2.122e-314,0
14,004000510,0.00013367,0,0,2.122e-314,0
162,001004300,0.00013367,0,0,2.122e-314,0
162,004005200,0.00013367,0,0,2.122e-314,0
38,000300150,0.00013367,5.6772e-05,8.4962e-05,0.9051,0.266
38,060000360,0.00013367,0,0,2.122e-314,0
14,004000550,0.00013367,0,0,2.122e-314,0
14,000004310,0.00013367,0.00012732,2.8918e-05,0.21962,0.648
38,050000240,0.00013367,0,0,2.122e-314,0
162,005002400,0.00013367,0,0,2.122e-314,0
38,000500610,0.00013367,6.0796e-05,8.8465e-05,0.82378,0.282
38,000300530,0.00013367,6.5091e-05,9.3432e-05,0.73402,0.295
38,000500460,0.00013367,9.455e-05,0.00011256,0.34756,0.397
162,003001500,0.00013367,0,0,2.122e-314,0
38,001401000,0.00013367,0,0,2.122e-314,0
14,004000220,0.00013367,0,0,2.122e-314,0
162,003002100,0.00013367,0,0,2.122e-314,0
14,000004110,0.00013367,0.00025866,3.4243e-05,-3.65,0.975
38,000206600,0.00013367,0,0,2.122e-314,0
38,000300410,0.00013367,3.8032e-05,7.5491e-05,1.2669,0.171
14,005000450,0.00013367,0,0,2.122e-314,0
162,004001200,0.00013367,0,0,2.122e-314,0
14,005000350,0.00013367,0,0,2.122e-314,0
162,001005400,0.00013367,0,0,2.122e-314,0
78,001002110,0.00013367,0.00012678,3.001e-05,0.2296,0.643
162,005003500,0.00013367,0,0,2.122e-314,0
162,001004400,0.00013367,0,0,2.122e-314,0
14,002000440,0.00013367,0,0,2.122e-314,0
140,001300010,0.00013367,0,0,2.122e-314,0
78,001001360,0.00013367,0.00012867,2.5936e-05,0.19304,0.665
14,003000550,0.00013367,0,0,2.122e-314,0
14,000005510,0.00013367,0,0,2.122e-314,0
38,000500410,0.00013367,5.9328e-05,8.6089e-05,0.86358,0.279
140,006200030,0.00013367,0,0,2.122e-314,0
162,001005600,0.00013367,0,0,2.122e-314,0
38,050000210,0.00013367,0,0,2.122e-314,0
138,005002010,0.00013367,0,0,2.122e-314,0
38,000200510,0.00013367,6.9102e-05,0.00010186,0.63389,0.297
38,000200160,0.00013367,4.8347e-05,8.1138e-05,1.0516,0.229
14,000001240,0.00013367,0.00012813,2.7175e-05,0.2041,0.657
162,001004500,0.00013367,0,0,2.122e-314,0
38,010000250,0.00013367,0,0,2.122e-314,0
140,005200040,0.00013367,0,0,2.122e-314,0
14,001000550,0.00013367,0,0,2.122e-314,0
14,000005240,0.00013367,0.00012853,2.6252e-05,0.19594,0.658
38,060000350,0.00013367,0,0,2.122e-314,0
138,003001010,0.00013367,0,0,2.122e-314,0
78,001001410,0.00013367,0.00013067,2.0504e-05,0.14639,0.67
162,001004200,0.00013367,0,0,2.122e-314,0
142,004201030,0.00013367,0,0,2.122e-314,0
14,000004340,0.00013367,0.00013187,1.6286e-05,0.11037,0.676
78,001004240,0.00013367,0.00013295,1.1174e-05,0.064996,0.682
14,000001350,0.00013367,0,0,2.122e-314,0
162,004006100,0.00013367,0,0,2.122e-314,0
14,005000360,0.00013367,0,0,2.122e-314,0
38,000100220,0.00013367,3.6685e-05,6.8954e-05,1.4065,0.174
140,001200050,0.00013367,0,0,2.122e-314,0
138,006006010,0.00013367,0,0,2.122e-314,0
162,005005500,0.00013367,0,0,2.122e-314,0
138,006003010,0.00013367,0,0,2.122e-314,0
140,040005300,0.00013367,5.2494e-05,8.3503e-05,0.97216,0.244
14,000002350,0.00013367,0.00012357,3.5711e-05,0.28286,0.625
38,000300160,0.00013367,4.7134e-05,7.9287e-05,1.0914,0.217
14,000002450,0.00013367,0.00012143,3.8906e-05,0.31457,0.627
38,000200310,0.00013367,4.8748e-05,7.9427e-05,1.0692,0.244
14,000004250,0.00013367,0.00012357,3.5711e-05,0.28281,0.633
38,000503300,0.00013367,0,0,2.122e-314,0
140,030001200,0.00013367,5.9057e-05,9.0345e-05,0.82589,0.271
38,010000440,0.00013367,0,0,2.122e-314,0
138,003005010,0.00013367,0,0,2.122e-314,0
138,004005010,0.00013367,0,0,2.122e-314,0
38,000401400,0.00013367,0,0,2.122e-314,0
14,003000510,0.00013367,0,0,2.122e-314,0
138,005003010,0.00013367,0,0,2.122e-314,0
14,000001450,0.00013367,0,0,2.122e-314,0
162,002005100,0.00013367,0,0,2.122e-314,0
162,005006100,0.00013367,0,0,2.122e-314,0
